,City,Country,Lat,Lng,Hotel Name
368,juarez,MX,31.73,-106.48,Hotel Lucerna Ciudad Juárez
369,laukaa,RU,58.74,29.85,Hotel Globus
370,nishihara,JP,26.18,127.76,DoubleTree by Hilton Hotel Naha Shuri Castle
371,zyryanka,RU,65.75,150.85,
372,grants pass,US,42.44,-123.33,Hampton Inn & Suites Grants Pass
373,mayo,US,38.89,-76.51,
374,el real de santa maria,PA,8.11,-77.73,
375,xingyi,CN,24.19,102.82,
376,sortland,NO,68.69,15.42,Sortland Hotel
377,ayan,RU,56.45,138.17,
378,novovasylivka,UA,46.83,35.75,
379,wenchi,GH,7.74,-2.1,Viglosam Lodge
380,havelock,US,34.88,-76.9,Holiday Inn Express and Suites Havelock
381,boddam,GB,57.47,-1.78,Palace Hotel
382,saint-jerome,CA,45.78,-74.0,Best Western Hotel St. Jerome
383,tigil,RU,57.8,158.67,
384,katangli,RU,51.71,143.23,
385,kautokeino,NO,69.01,23.04,Thon Hotel Kautokeino
386,bahir dar,ET,11.59,37.39,Abay Minch Lodge
387,aldama,MX,22.92,-98.07,HOTEL RANCHO VIEJO INN
388,sinnamary,GF,5.38,-52.95,L'oiseau de Paradis
389,port blair,IN,11.67,92.75,Fortune Resort Bay Island
390,indramayu,ID,-6.33,108.32,Grand Trisula Hotel
391,najran,SA,17.49,44.13,
392,quatre cocos,MU,-20.21,57.76,Shangri-La's Le Touessrok Resort & Spa
393,eureka,US,40.8,-124.16,Best Western Plus Humboldt Bay Inn
394,tabuk,PH,17.42,121.44,Grand Zion Garden Resort Hotel
395,la carolina,ES,38.28,-3.62,NH La Perdiz
396,afikpo,NG,5.89,7.94,P. Noble Hotels and Suite
397,gelibolu,TR,40.41,26.67,8 Rooms Boutique Hotel
398,clemencia,CO,10.57,-75.33,
399,kumylzhenskaya,RU,49.88,42.59,Заимка. Гостиница и кафе
400,santa rosa,PH,14.31,121.11,May’s Pool House
401,chuguyevka,RU,44.17,133.86,Gostinitsa Svet V Okne
402,miles city,US,46.41,-105.84,Best Western War Bonnet Inn
403,mizdah,LY,31.45,12.98,
404,omboue,GA,-1.57,9.26,Hotel Olako
